area,perimeter,inertia11,inertia12,inertia21,inertia22,x,y,density_around,area_around,N,NW,img
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,348.3333333333333,48.333333333333336,19.0,0.0436,150.0,33.0,0.0
13.0,10.65685424949238,1.2899408284023666,0.08875739644970414,0.08875739644970414,0.863905325443787,103.6923076923077,50.46153846153846,16.0,0.0284,150.0,33.0,0.0
6.0,6.0,0.6666666666666666,-0.0,-0.0,0.25,183.0,49.5,9.0,0.0424,150.0,33.0,0.0
4.0,4.414213562373095,0.5,0.25,0.25,0.25,292.0,49.5,10.0,0.0668,150.0,33.0,0.0
4.0,4.0,0.25,-0.0,-0.0,0.25,362.5,49.5,16.0,0.038,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,516.0,49.0,14.0,0.0656,150.0,33.0,0.0
4.0,4.414213562373095,0.25,0.25,0.25,0.5,614.5,50.0,5.0,0.0376,150.0,33.0,0.0
5.0,4.414213562373095,0.4,-0.0,-0.0,0.64,332.0,51.4,17.0,0.0712,150.0,33.0,0.0
10.0,9.414213562373096,1.8400000000000003,0.8800000000000001,0.8800000000000001,0.8099999999999999,508.6,51.3,17.0,0.058,150.0,33.0,0.0
17.0,14.449747468305834,0.7681660899653979,-0.44636678200692037,-0.44636678200692037,2.6989619377162626,601.7647058823529,53.64705882352941,18.0,0.0488,150.0,33.0,0.0
2.0,0.0,0.25,-0.25,-0.25,0.25,30.5,52.5,17.0,0.0524,150.0,33.0,0.0
5.0,5.207106781186548,0.24000000000000005,-0.12,-0.12,0.56,112.6,52.8,15.0,0.0368,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,292.0,52.0,11.0,0.0272,150.0,33.0,0.0
6.0,6.207106781186548,0.47222222222222215,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,358.8333333333333,53.0,20.0,0.0588,150.0,33.0,0.0
10.0,9.242640687119286,0.65,-0.0,-0.0,1.0400000000000003,485.5,53.6,15.0,0.0428,150.0,33.0,0.0
